iter	Logloss
0	0.6899151375
1	0.6868854249
2	0.6841653688
3	0.6814253195
4	0.6786576742
5	0.6762590845
6	0.6740150058
7	0.6717787902
8	0.6695319657
9	0.6675416871
10	0.6655282776
11	0.6636867212
12	0.6618552871
13	0.6601270503
14	0.6583919796
15	0.6568152333
16	0.6553214891
17	0.6540943103
18	0.6527023827
19	0.6513532108
20	0.6502057422
21	0.6490408586
22	0.6476446284
23	0.6465680916
24	0.6454945618
25	0.6445106654
26	0.6435029489
27	0.6426730321
28	0.6417532487
29	0.6407131117
30	0.6398472375
31	0.6391597318
32	0.6384026766
33	0.6377066786
34	0.636851076
35	0.63605308
36	0.6353337504
37	0.6347412195
38	0.6339211569
39	0.6333429485
40	0.6327262441
41	0.6321586087
42	0.6315923748
43	0.6311566704
44	0.6305141988
45	0.6300447233
46	0.6295989923
47	0.6288724592
48	0.6284976962
49	0.6279390765
50	0.6275560242
51	0.6271815493
52	0.6268177112
53	0.6263894865
54	0.6260278328
55	0.625523528
56	0.6251402171
57	0.6247420144
58	0.6244999654
59	0.6242230838
60	0.6238497308
61	0.6233314917
62	0.6230392156
63	0.622801735
64	0.6222237095
65	0.6219914962
66	0.6217212083
67	0.6215358806
68	0.6213256773
69	0.6210321039
70	0.620640399
71	0.620470253
72	0.6202380193
73	0.6199996376
74	0.6196109933
75	0.6191602456
76	0.6186727703
77	0.618488757
78	0.6183447669
79	0.6177645053
80	0.6176049952
81	0.6172959155
82	0.616845521
83	0.6166410619
84	0.6164303908
85	0.6162765117
86	0.6161008471
87	0.6157115739
88	0.615529187
89	0.6152823101
90	0.6151585913
91	0.6150236073
92	0.614829758
93	0.6144565969
94	0.6143379393
95	0.6141052815
96	0.6138412039
97	0.6136807704
98	0.6134284846
99	0.6132589852
100	0.613105236
101	0.6129660897
102	0.6128298739
103	0.6126699627
104	0.6125617081
105	0.6123366038
106	0.6122035001
107	0.611978962
108	0.6118597448
109	0.6116674682
110	0.6115434271
111	0.6114375178
112	0.6111563761
113	0.6110175188
114	0.6107515627
115	0.6106283364
116	0.6105040059
117	0.6101911136
118	0.6101207478
119	0.609924184
120	0.6096249123
121	0.6093061587
122	0.6092003886
123	0.6089498083
124	0.6087952279
125	0.6086529867
126	0.6084033149
127	0.6082875398
128	0.6081511141
129	0.6079453301
130	0.6077452312
131	0.6076601367
132	0.6075710684
133	0.6073433269
134	0.6072123264
135	0.6069192316
136	0.6068143318
137	0.6067452279
138	0.6064622462
139	0.6063677658
140	0.6061462728
141	0.605985243
142	0.605885093
143	0.6058005112
144	0.6056918275
145	0.6055662254
146	0.6052831541
147	0.6051325185
148	0.6048754355
149	0.60472646
150	0.604618818
151	0.6044697895
152	0.6043196255
153	0.6042167098
