iter	Passed	Remaining
0	238	357281
1	289	217046
2	330	165027
3	377	141327
4	410	122667
5	448	111554
6	488	104256
7	531	99037
8	571	94743
9	608	90668
10	648	87819
11	690	85566
12	731	83659
13	786	83494
14	840	83235
15	883	81922
16	927	80950
17	965	79463
18	1006	78476
19	1061	78553
20	1112	78366
21	1161	78047
22	1216	78145
23	1284	79018
24	1334	78752
25	1366	77458
26	1408	76828
27	1444	75943
28	1486	75422
29	1549	75907
30	1673	79301
31	1727	79267
32	1762	78335
33	1790	77195
34	1819	76139
35	1861	75701
36	1902	75230
37	1943	74777
38	1985	74371
39	2025	73941
40	2064	73481
41	2102	72974
42	2142	72609
43	2179	72123
44	2221	71836
45	2259	71433
46	2298	71060
47	2343	70887
48	2400	71075
49	2447	70977
50	2489	70717
51	2533	70561
52	2577	70362
53	2615	70047
54	2651	69670
55	2684	69229
56	2720	68864
57	2753	68446
58	2791	68168
59	2834	68037
60	2876	67845
61	2917	67667
62	2960	67527
63	3000	67325
64	3038	67072
65	3078	66880
66	3123	66802
67	3169	66736
68	3213	66635
69	3263	66667
70	3311	66644
71	3356	66575
72	3404	66550
73	3452	66539
74	3498	66477
75	3541	66363
76	3585	66268
77	3631	66203
78	3676	66122
79	3718	65995
80	3759	65862
81	3800	65721
82	3840	65557
83	3886	65511
84	3927	65384
85	3976	65378
86	4020	65293
87	4062	65183
88	4102	65046
89	4139	64859
90	4176	64672
91	4216	64531
92	4255	64381
93	4290	64172
94	4321	63914
95	4354	63683
96	4383	63401
97	4418	63209
98	4463	63158
99	4503	63047
100	4551	63040
101	4601	63065
102	4655	63141
103	4700	63097
104	4743	63026
105	4777	62829
106	4813	62662
107	4845	62455
108	4891	62419
109	4939	62411
110	4982	62347
111	5023	62260
112	5063	62149
113	5101	62026
114	5141	61918
115	5179	61797
116	5216	61664
117	5253	61531
118	5290	61392
119	5329	61292
120	5364	61139
121	5401	61005
122	5437	60876
123	5474	60743
124	5514	60655
125	5552	60554
126	5590	60439
127	5626	60311
128	5661	60169
129	5700	60076
130	5741	59999
131	5777	59876
132	5816	59784
133	5853	59666
134	5889	59551
135	5930	59475
136	5967	59365
137	6005	59266
138	6045	59197
139	6082	59084
140	6117	58966
141	6155	58871
142	6194	58779
143	6235	58716
144	6274	58631
145	6316	58574
146	6352	58467
147	6391	58387
148	6435	58352
149	6494	58451
150	6532	58357
151	6573	58297
152	6615	58238
153	6652	58141
154	6688	58038
155	6721	57905
156	6754	57780
157	6784	57622
158	6812	57459
159	6834	57240
160	6864	57089
161	6897	56964
162	6924	56799
163	6954	56652
164	6983	56500
165	7022	56432
166	7058	56342
167	7097	56275
168	7131	56162
169	7166	56071
170	7199	55954
171	7232	55840
172	7264	55720
173	7297	55614
174	7336	55547
175	7375	55481
176	7407	55371
177	7435	55222
178	7465	55094
179	7496	54972
180	7529	54870
181	7569	54815
182	7601	54706
183	7638	54631
184	7673	54541
185	7708	54455
186	7747	54395
187	7788	54356
188	7824	54276
189	7857	54174
190	7889	54070
191	7933	54044
192	7972	53990
193	8008	53913
194	8047	53858
195	8086	53802
196	8125	53742
197	8162	53673
198	8202	53625
199	8239	53558
200	8276	53488
201	8314	53426
202	8350	53354
203	8386	53281
204	8424	53218
205	8457	53124
206	8494	53058
207	8540	53050
208	8577	52983
209	8609	52888
210	8648	52836
211	8682	52749
212	8720	52688
213	8758	52632
214	8801	52606
215	8840	52553
216	8878	52494
217	8911	52404
218	8944	52317
219	8975	52222
220	9006	52125
221	9044	52066
222	9076	51975
223	9103	51855
224	9133	51755
225	9164	51660
226	9201	51601
227	9239	51545
228	9275	51480
229	9311	51414
230	9343	51326
231	9379	51262
232	9415	51197
233	9456	51159
234	9491	51091
235	9530	51043
236	9580	51054
237	9628	51053
238	9659	50966
239	9743	51153
240	10045	52475
241	10078	52393
242	10110	52300
243	10141	52204
244	10172	52107
245	10207	52033
246	10237	51931
247	10268	51840
248	10296	51731
249	10330	51654
250	10367	51590
251	10402	51519
252	10446	51487
253	10481	51418
254	10514	51336
255	10546	51249
256	10586	51200
257	10630	51174
258	10660	51081
259	10696	51013
260	10730	50938
261	10763	50860
262	10793	50764
263	10821	50666
264	10854	50587
265	10887	50506
266	10918	50421
267	10951	50345
268	10986	50278
269	11036	50277
270	11071	50208
271	11107	50145
272	11140	50069
273	11177	50012
274	11210	49935
275	11243	49861
276	11281	49808
277	11317	49748
278	11350	49675
279	11385	49606
280	11421	49548
281	11452	49465
282	11475	49346
283	11507	49271
284	11540	49197
285	11572	49120
286	11602	49036
287	11634	48962
288	11668	48896
289	11702	48828
290	11731	48741
291	11765	48675
292	11795	48592
293	11828	48520
294	11857	48435
295	11891	48370
296	11924	48299
297	11957	48231
298	11989	48158
299	12023	48094
300	12055	48019
301	12092	47968
302	12124	47898
303	12155	47820
304	12184	47738
305	12212	47653
306	12259	47641
307	12300	47605
308	12342	47571
309	12380	47523
310	12410	47447
311	12442	47377
312	12475	47310
313	12513	47263
314	12544	47189
315	12567	47089
316	12594	47002
317	12637	46974
318	12675	46926
319	12702	46840
320	12733	46770
321	12758	46675
322	12788	46600
323	12822	46539
324	12856	46479
325	12894	46435
326	12931	46386
327	12963	46322
328	13003	46283
329	13039	46229
330	13073	46172
331	13103	46098
332	13139	46046
333	13172	45984
334	13204	45920
335	13236	45856
336	13267	45785
337	13301	45728
338	13333	45663
339	13365	45598
340	13395	45530
341	13428	45470
342	13461	45409
343	13496	45355
344	13528	45290
345	13560	45227
346	13591	45161
347	13625	45104
348	13659	45048
349	13689	44978
350	13723	44924
351	13755	44862
352	13785	44793
353	13817	44730
354	13851	44675
355	13884	44617
356	13917	44559
357	13950	44501
358	13981	44438
359	14014	44379
360	14046	44318
361	14079	44261
362	14107	44189
363	14144	44142
364	14178	44090
365	14213	44037
366	14245	43979
367	14279	43924
368	14312	43867
369	14344	43807
370	14375	43745
371	14406	43683
372	14441	43635
373	14473	43575
374	14502	43507
375	14536	43455
376	14571	43405
377	14604	43348
378	14637	43294
379	14684	43281
380	14740	43294
381	14782	43262
382	14821	43224
383	14855	43173
384	14887	43116
385	14919	43059
386	14955	43012
387	14989	42960
388	15022	42905
389	15056	42852
390	15090	42801
391	15120	42739
392	15154	42685
393	15184	42624
394	15212	42555
395	15241	42490
396	15274	42436
397	15305	42378
398	15335	42317
